cifar10_dvs | binary | 42 | 1 | 0.2976 | 0.3040 | 0.3040
cifar10_dvs | binary | 42 | 2 | 0.3776 | 0.3580 | 0.3580
cifar10_dvs | binary | 42 | 3 | 0.4329 | 0.4160 | 0.4160
cifar10_dvs | binary | 42 | 4 | 0.4718 | 0.4410 | 0.4410
cifar10_dvs | binary | 42 | 5 | 0.4999 | 0.4550 | 0.4550
cifar10_dvs | binary | 42 | 6 | 0.5206 | 0.4340 | 0.4550
cifar10_dvs | binary | 42 | 7 | 0.5465 | 0.4580 | 0.4580
cifar10_dvs | binary | 42 | 8 | 0.5677 | 0.4620 | 0.4620
cifar10_dvs | binary | 42 | 9 | 0.5873 | 0.5020 | 0.5020
cifar10_dvs | binary | 42 | 10 | 0.5950 | 0.5380 | 0.5380
cifar10_dvs | binary | 42 | 11 | 0.6161 | 0.5660 | 0.5660
cifar10_dvs | binary | 42 | 12 | 0.6301 | 0.5460 | 0.5660
cifar10_dvs | binary | 42 | 13 | 0.6430 | 0.5480 | 0.5660
cifar10_dvs | binary | 42 | 14 | 0.6546 | 0.5380 | 0.5660
cifar10_dvs | binary | 42 | 15 | 0.6679 | 0.5580 | 0.5660
cifar10_dvs | binary | 42 | 16 | 0.6747 | 0.5630 | 0.5660
cifar10_dvs | binary | 42 | 17 | 0.6931 | 0.5750 | 0.5750
cifar10_dvs | binary | 42 | 18 | 0.7037 | 0.5390 | 0.5750
cifar10_dvs | binary | 42 | 19 | 0.7121 | 0.5430 | 0.5750
cifar10_dvs | binary | 42 | 20 | 0.7226 | 0.6070 | 0.6070
cifar10_dvs | binary | 42 | 21 | 0.7322 | 0.6020 | 0.6070
cifar10_dvs | binary | 42 | 22 | 0.7436 | 0.5930 | 0.6070
cifar10_dvs | binary | 42 | 23 | 0.7500 | 0.5630 | 0.6070
cifar10_dvs | binary | 42 | 24 | 0.7656 | 0.5910 | 0.6070
cifar10_dvs | binary | 42 | 25 | 0.7724 | 0.5810 | 0.6070
cifar10_dvs | binary | 42 | 26 | 0.7855 | 0.6050 | 0.6070
cifar10_dvs | binary | 42 | 27 | 0.7919 | 0.6200 | 0.6200
cifar10_dvs | binary | 42 | 28 | 0.8035 | 0.5930 | 0.6200
cifar10_dvs | binary | 42 | 29 | 0.8219 | 0.6410 | 0.6410
cifar10_dvs | binary | 42 | 30 | 0.8237 | 0.6070 | 0.6410
cifar10_dvs | binary | 42 | 31 | 0.8305 | 0.6140 | 0.6410
cifar10_dvs | binary | 42 | 32 | 0.8375 | 0.6120 | 0.6410
cifar10_dvs | binary | 42 | 33 | 0.8451 | 0.6230 | 0.6410
cifar10_dvs | binary | 42 | 34 | 0.8588 | 0.6100 | 0.6410
cifar10_dvs | binary | 42 | 35 | 0.8658 | 0.6220 | 0.6410
cifar10_dvs | binary | 42 | 36 | 0.8702 | 0.6030 | 0.6410
cifar10_dvs | binary | 42 | 37 | 0.8729 | 0.6320 | 0.6410
cifar10_dvs | binary | 42 | 38 | 0.8881 | 0.6230 | 0.6410
cifar10_dvs | binary | 42 | 39 | 0.8941 | 0.5940 | 0.6410
cifar10_dvs | binary | 42 | 40 | 0.8974 | 0.6190 | 0.6410
cifar10_dvs | binary | 42 | 41 | 0.9071 | 0.6520 | 0.6520
cifar10_dvs | binary | 42 | 42 | 0.9116 | 0.6360 | 0.6520
cifar10_dvs | binary | 42 | 43 | 0.9180 | 0.6450 | 0.6520
cifar10_dvs | binary | 42 | 44 | 0.9206 | 0.6410 | 0.6520
cifar10_dvs | binary | 42 | 45 | 0.9276 | 0.6560 | 0.6560
cifar10_dvs | binary | 42 | 46 | 0.9344 | 0.6420 | 0.6560
cifar10_dvs | binary | 42 | 47 | 0.9363 | 0.6540 | 0.6560
cifar10_dvs | binary | 42 | 48 | 0.9416 | 0.6540 | 0.6560
cifar10_dvs | binary | 42 | 49 | 0.9421 | 0.6440 | 0.6560
cifar10_dvs | binary | 42 | 50 | 0.9410 | 0.6480 | 0.6560
cifar10_dvs | binary | 42 | 51 | 0.9444 | 0.6520 | 0.6560
cifar10_dvs | binary | 42 | 52 | 0.9494 | 0.6410 | 0.6560
cifar10_dvs | binary | 42 | 53 | 0.9537 | 0.6410 | 0.6560
cifar10_dvs | binary | 42 | 54 | 0.9524 | 0.6530 | 0.6560
cifar10_dvs | binary | 42 | 55 | 0.9519 | 0.6540 | 0.6560
cifar10_dvs | binary | 42 | 56 | 0.9555 | 0.6540 | 0.6560
cifar10_dvs | binary | 42 | 57 | 0.9575 | 0.6520 | 0.6560
cifar10_dvs | binary | 42 | 58 | 0.9564 | 0.6480 | 0.6560
cifar10_dvs | binary | 42 | 59 | 0.9585 | 0.6350 | 0.6560
cifar10_dvs | binary | 42 | 60 | 0.9577 | 0.6520 | 0.6560
