cifar10_dvs | binary | 42 | 1 | 0.2724 | 0.1500 | 0.1500
cifar10_dvs | binary | 42 | 2 | 0.3478 | 0.3280 | 0.3280
cifar10_dvs | binary | 42 | 3 | 0.3959 | 0.2010 | 0.3280
cifar10_dvs | binary | 42 | 4 | 0.4225 | 0.3920 | 0.3920
cifar10_dvs | binary | 42 | 5 | 0.4379 | 0.4040 | 0.4040
cifar10_dvs | binary | 42 | 6 | 0.4698 | 0.4250 | 0.4250
cifar10_dvs | binary | 42 | 7 | 0.4813 | 0.3660 | 0.4250
cifar10_dvs | binary | 42 | 8 | 0.4901 | 0.4220 | 0.4250
cifar10_dvs | binary | 42 | 9 | 0.5060 | 0.3730 | 0.4250
cifar10_dvs | binary | 42 | 10 | 0.5056 | 0.4640 | 0.4640
cifar10_dvs | binary | 42 | 11 | 0.5185 | 0.4890 | 0.4890
cifar10_dvs | binary | 42 | 12 | 0.5369 | 0.4730 | 0.4890
cifar10_dvs | binary | 42 | 13 | 0.5364 | 0.4530 | 0.4890
cifar10_dvs | binary | 42 | 14 | 0.5495 | 0.4550 | 0.4890
cifar10_dvs | binary | 42 | 15 | 0.5563 | 0.5070 | 0.5070
cifar10_dvs | binary | 42 | 16 | 0.5734 | 0.5170 | 0.5170
cifar10_dvs | binary | 42 | 17 | 0.5624 | 0.4440 | 0.5170
cifar10_dvs | binary | 42 | 18 | 0.5723 | 0.3710 | 0.5170
cifar10_dvs | binary | 42 | 19 | 0.5811 | 0.4610 | 0.5170
cifar10_dvs | binary | 42 | 20 | 0.5831 | 0.4450 | 0.5170
cifar10_dvs | binary | 42 | 21 | 0.5890 | 0.5110 | 0.5170
cifar10_dvs | binary | 42 | 22 | 0.5990 | 0.4840 | 0.5170
cifar10_dvs | binary | 42 | 23 | 0.6060 | 0.5350 | 0.5350
cifar10_dvs | binary | 42 | 24 | 0.6056 | 0.5150 | 0.5350
cifar10_dvs | binary | 42 | 25 | 0.6034 | 0.5710 | 0.5710
cifar10_dvs | binary | 42 | 26 | 0.6218 | 0.4980 | 0.5710
cifar10_dvs | binary | 42 | 27 | 0.6198 | 0.5090 | 0.5710
cifar10_dvs | binary | 42 | 28 | 0.6231 | 0.5150 | 0.5710
cifar10_dvs | binary | 42 | 29 | 0.6261 | 0.4890 | 0.5710
cifar10_dvs | binary | 42 | 30 | 0.6259 | 0.4530 | 0.5710
cifar10_dvs | binary | 42 | 31 | 0.6371 | 0.5740 | 0.5740
cifar10_dvs | binary | 42 | 32 | 0.6405 | 0.4930 | 0.5740
cifar10_dvs | binary | 42 | 33 | 0.6421 | 0.5190 | 0.5740
cifar10_dvs | binary | 42 | 34 | 0.6438 | 0.5560 | 0.5740
cifar10_dvs | binary | 42 | 35 | 0.6500 | 0.5580 | 0.5740
cifar10_dvs | binary | 42 | 36 | 0.6505 | 0.5700 | 0.5740
cifar10_dvs | binary | 42 | 37 | 0.6551 | 0.4500 | 0.5740
cifar10_dvs | binary | 42 | 38 | 0.6620 | 0.5340 | 0.5740
cifar10_dvs | binary | 42 | 39 | 0.6605 | 0.5520 | 0.5740
cifar10_dvs | binary | 42 | 40 | 0.6605 | 0.5130 | 0.5740
cifar10_dvs | binary | 42 | 41 | 0.6704 | 0.5370 | 0.5740
cifar10_dvs | binary | 42 | 42 | 0.6710 | 0.5670 | 0.5740
cifar10_dvs | binary | 42 | 43 | 0.6723 | 0.5890 | 0.5890
cifar10_dvs | binary | 42 | 44 | 0.6739 | 0.5250 | 0.5890
cifar10_dvs | binary | 42 | 45 | 0.6787 | 0.5480 | 0.5890
cifar10_dvs | binary | 42 | 46 | 0.6803 | 0.5520 | 0.5890
cifar10_dvs | binary | 42 | 47 | 0.6886 | 0.5910 | 0.5910
cifar10_dvs | binary | 42 | 48 | 0.6913 | 0.5550 | 0.5910
cifar10_dvs | binary | 42 | 49 | 0.6907 | 0.5280 | 0.5910
cifar10_dvs | binary | 42 | 50 | 0.7059 | 0.5590 | 0.5910
cifar10_dvs | binary | 42 | 51 | 0.6975 | 0.5710 | 0.5910
cifar10_dvs | binary | 42 | 52 | 0.7007 | 0.6080 | 0.6080
cifar10_dvs | binary | 42 | 53 | 0.7041 | 0.5800 | 0.6080
cifar10_dvs | binary | 42 | 54 | 0.7039 | 0.5810 | 0.6080
cifar10_dvs | binary | 42 | 55 | 0.7134 | 0.5480 | 0.6080
cifar10_dvs | binary | 42 | 56 | 0.7129 | 0.5700 | 0.6080
cifar10_dvs | binary | 42 | 57 | 0.7109 | 0.6020 | 0.6080
cifar10_dvs | binary | 42 | 58 | 0.7123 | 0.5880 | 0.6080
cifar10_dvs | binary | 42 | 59 | 0.7144 | 0.5940 | 0.6080
cifar10_dvs | binary | 42 | 60 | 0.7194 | 0.5960 | 0.6080
