cifar10_dvs | binary | 42 | 1 | 0.3311 | 0.3220 | 0.3220
cifar10_dvs | binary | 42 | 2 | 0.4264 | 0.4100 | 0.4100
cifar10_dvs | binary | 42 | 3 | 0.4675 | 0.3630 | 0.4100
cifar10_dvs | binary | 42 | 4 | 0.4985 | 0.4580 | 0.4580
cifar10_dvs | binary | 42 | 5 | 0.5200 | 0.4280 | 0.4580
cifar10_dvs | binary | 42 | 6 | 0.5429 | 0.5040 | 0.5040
cifar10_dvs | binary | 42 | 7 | 0.5694 | 0.5030 | 0.5040
cifar10_dvs | binary | 42 | 8 | 0.5919 | 0.4990 | 0.5040
cifar10_dvs | binary | 42 | 9 | 0.6022 | 0.5280 | 0.5280
cifar10_dvs | binary | 42 | 10 | 0.6126 | 0.5760 | 0.5760
cifar10_dvs | binary | 42 | 11 | 0.6308 | 0.5440 | 0.5760
cifar10_dvs | binary | 42 | 12 | 0.6458 | 0.5330 | 0.5760
cifar10_dvs | binary | 42 | 13 | 0.6529 | 0.5610 | 0.5760
cifar10_dvs | binary | 42 | 14 | 0.6681 | 0.5390 | 0.5760
cifar10_dvs | binary | 42 | 15 | 0.6771 | 0.5340 | 0.5760
cifar10_dvs | binary | 42 | 16 | 0.6839 | 0.5640 | 0.5760
cifar10_dvs | binary | 42 | 17 | 0.6937 | 0.5860 | 0.5860
cifar10_dvs | binary | 42 | 18 | 0.7089 | 0.4930 | 0.5860
cifar10_dvs | binary | 42 | 19 | 0.7123 | 0.5610 | 0.5860
cifar10_dvs | binary | 42 | 20 | 0.7275 | 0.5860 | 0.5860
cifar10_dvs | binary | 42 | 21 | 0.7392 | 0.5470 | 0.5860
cifar10_dvs | binary | 42 | 22 | 0.7491 | 0.5890 | 0.5890
cifar10_dvs | binary | 42 | 23 | 0.7514 | 0.6270 | 0.6270
cifar10_dvs | binary | 42 | 24 | 0.7658 | 0.5860 | 0.6270
cifar10_dvs | binary | 42 | 25 | 0.7689 | 0.6020 | 0.6270
cifar10_dvs | binary | 42 | 26 | 0.7829 | 0.5610 | 0.6270
cifar10_dvs | binary | 42 | 27 | 0.7911 | 0.6200 | 0.6270
cifar10_dvs | binary | 42 | 28 | 0.7944 | 0.5890 | 0.6270
cifar10_dvs | binary | 42 | 29 | 0.8040 | 0.6160 | 0.6270
cifar10_dvs | binary | 42 | 30 | 0.8143 | 0.5830 | 0.6270
cifar10_dvs | binary | 42 | 31 | 0.8171 | 0.6200 | 0.6270
cifar10_dvs | binary | 42 | 32 | 0.8265 | 0.6270 | 0.6270
cifar10_dvs | binary | 42 | 33 | 0.8369 | 0.6180 | 0.6270
cifar10_dvs | binary | 42 | 34 | 0.8416 | 0.6170 | 0.6270
cifar10_dvs | binary | 42 | 35 | 0.8409 | 0.6090 | 0.6270
cifar10_dvs | binary | 42 | 36 | 0.8525 | 0.5830 | 0.6270
cifar10_dvs | binary | 42 | 37 | 0.8578 | 0.6250 | 0.6270
cifar10_dvs | binary | 42 | 38 | 0.8626 | 0.6370 | 0.6370
cifar10_dvs | binary | 42 | 39 | 0.8666 | 0.6240 | 0.6370
cifar10_dvs | binary | 42 | 40 | 0.8730 | 0.6250 | 0.6370
cifar10_dvs | binary | 42 | 41 | 0.8828 | 0.6130 | 0.6370
cifar10_dvs | binary | 42 | 42 | 0.8871 | 0.6440 | 0.6440
cifar10_dvs | binary | 42 | 43 | 0.8896 | 0.6320 | 0.6440
cifar10_dvs | binary | 42 | 44 | 0.8949 | 0.6310 | 0.6440
cifar10_dvs | binary | 42 | 45 | 0.8975 | 0.6430 | 0.6440
cifar10_dvs | binary | 42 | 46 | 0.9028 | 0.6360 | 0.6440
cifar10_dvs | binary | 42 | 47 | 0.9058 | 0.6410 | 0.6440
cifar10_dvs | binary | 42 | 48 | 0.9077 | 0.6360 | 0.6440
cifar10_dvs | binary | 42 | 49 | 0.9131 | 0.6400 | 0.6440
cifar10_dvs | binary | 42 | 50 | 0.9144 | 0.6420 | 0.6440
cifar10_dvs | binary | 42 | 51 | 0.9181 | 0.6350 | 0.6440
cifar10_dvs | binary | 42 | 52 | 0.9195 | 0.6520 | 0.6520
cifar10_dvs | binary | 42 | 53 | 0.9189 | 0.6540 | 0.6540
cifar10_dvs | binary | 42 | 54 | 0.9230 | 0.6460 | 0.6540
cifar10_dvs | binary | 42 | 55 | 0.9243 | 0.6440 | 0.6540
cifar10_dvs | binary | 42 | 56 | 0.9215 | 0.6460 | 0.6540
cifar10_dvs | binary | 42 | 57 | 0.9223 | 0.6400 | 0.6540
cifar10_dvs | binary | 42 | 58 | 0.9225 | 0.6390 | 0.6540
cifar10_dvs | binary | 42 | 59 | 0.9284 | 0.6430 | 0.6540
cifar10_dvs | binary | 42 | 60 | 0.9206 | 0.6400 | 0.6540
