cifar10_dvs | binary | 42 | 1 | 0.2943 | 0.3430 | 0.3430
cifar10_dvs | binary | 42 | 2 | 0.3776 | 0.3230 | 0.3430
cifar10_dvs | binary | 42 | 3 | 0.4325 | 0.4040 | 0.4040
cifar10_dvs | binary | 42 | 4 | 0.4597 | 0.4370 | 0.4370
cifar10_dvs | binary | 42 | 5 | 0.4848 | 0.4560 | 0.4560
cifar10_dvs | binary | 42 | 6 | 0.5130 | 0.4420 | 0.4560
cifar10_dvs | binary | 42 | 7 | 0.5298 | 0.4940 | 0.4940
cifar10_dvs | binary | 42 | 8 | 0.5569 | 0.3900 | 0.4940
cifar10_dvs | binary | 42 | 9 | 0.5754 | 0.5060 | 0.5060
cifar10_dvs | binary | 42 | 10 | 0.5819 | 0.5380 | 0.5380
cifar10_dvs | binary | 42 | 11 | 0.6018 | 0.5330 | 0.5380
cifar10_dvs | binary | 42 | 12 | 0.6086 | 0.5200 | 0.5380
cifar10_dvs | binary | 42 | 13 | 0.6151 | 0.5190 | 0.5380
cifar10_dvs | binary | 42 | 14 | 0.6278 | 0.4930 | 0.5380
cifar10_dvs | binary | 42 | 15 | 0.6400 | 0.5590 | 0.5590
cifar10_dvs | binary | 42 | 16 | 0.6396 | 0.5870 | 0.5870
cifar10_dvs | binary | 42 | 17 | 0.6488 | 0.5800 | 0.5870
cifar10_dvs | binary | 42 | 18 | 0.6615 | 0.5190 | 0.5870
cifar10_dvs | binary | 42 | 19 | 0.6635 | 0.5460 | 0.5870
cifar10_dvs | binary | 42 | 20 | 0.6764 | 0.5600 | 0.5870
cifar10_dvs | binary | 42 | 21 | 0.6840 | 0.5970 | 0.5970
cifar10_dvs | binary | 42 | 22 | 0.6905 | 0.5670 | 0.5970
cifar10_dvs | binary | 42 | 23 | 0.6960 | 0.5540 | 0.5970
cifar10_dvs | binary | 42 | 24 | 0.6959 | 0.5770 | 0.5970
cifar10_dvs | binary | 42 | 25 | 0.6960 | 0.5670 | 0.5970
cifar10_dvs | binary | 42 | 26 | 0.7188 | 0.5830 | 0.5970
cifar10_dvs | binary | 42 | 27 | 0.7201 | 0.5990 | 0.5990
cifar10_dvs | binary | 42 | 28 | 0.7225 | 0.6140 | 0.6140
cifar10_dvs | binary | 42 | 29 | 0.7301 | 0.6140 | 0.6140
cifar10_dvs | binary | 42 | 30 | 0.7366 | 0.5560 | 0.6140
cifar10_dvs | binary | 42 | 31 | 0.7402 | 0.6050 | 0.6140
cifar10_dvs | binary | 42 | 32 | 0.7485 | 0.5400 | 0.6140
cifar10_dvs | binary | 42 | 33 | 0.7502 | 0.6110 | 0.6140
cifar10_dvs | binary | 42 | 34 | 0.7526 | 0.6340 | 0.6340
cifar10_dvs | binary | 42 | 35 | 0.7644 | 0.5960 | 0.6340
cifar10_dvs | binary | 42 | 36 | 0.7709 | 0.6070 | 0.6340
cifar10_dvs | binary | 42 | 37 | 0.7694 | 0.5610 | 0.6340
cifar10_dvs | binary | 42 | 38 | 0.7721 | 0.6510 | 0.6510
cifar10_dvs | binary | 42 | 39 | 0.7771 | 0.6130 | 0.6510
cifar10_dvs | binary | 42 | 40 | 0.7901 | 0.5580 | 0.6510
cifar10_dvs | binary | 42 | 41 | 0.7923 | 0.6170 | 0.6510
cifar10_dvs | binary | 42 | 42 | 0.7976 | 0.5980 | 0.6510
cifar10_dvs | binary | 42 | 43 | 0.7957 | 0.6460 | 0.6510
cifar10_dvs | binary | 42 | 44 | 0.8037 | 0.6140 | 0.6510
cifar10_dvs | binary | 42 | 45 | 0.8061 | 0.6350 | 0.6510
cifar10_dvs | binary | 42 | 46 | 0.8114 | 0.6410 | 0.6510
cifar10_dvs | binary | 42 | 47 | 0.8141 | 0.6150 | 0.6510
cifar10_dvs | binary | 42 | 48 | 0.8189 | 0.6250 | 0.6510
cifar10_dvs | binary | 42 | 49 | 0.8253 | 0.6210 | 0.6510
cifar10_dvs | binary | 42 | 50 | 0.8241 | 0.6100 | 0.6510
cifar10_dvs | binary | 42 | 51 | 0.8335 | 0.6320 | 0.6510
cifar10_dvs | binary | 42 | 52 | 0.8305 | 0.6540 | 0.6540
cifar10_dvs | binary | 42 | 53 | 0.8355 | 0.6450 | 0.6540
cifar10_dvs | binary | 42 | 54 | 0.8425 | 0.6360 | 0.6540
cifar10_dvs | binary | 42 | 55 | 0.8485 | 0.6180 | 0.6540
cifar10_dvs | binary | 42 | 56 | 0.8462 | 0.6600 | 0.6600
cifar10_dvs | binary | 42 | 57 | 0.8546 | 0.6510 | 0.6600
cifar10_dvs | binary | 42 | 58 | 0.8566 | 0.6390 | 0.6600
cifar10_dvs | binary | 42 | 59 | 0.8605 | 0.6300 | 0.6600
cifar10_dvs | binary | 42 | 60 | 0.8595 | 0.6260 | 0.6600
cifar10_dvs | binary | 42 | 61 | 0.8664 | 0.6150 | 0.6600
cifar10_dvs | binary | 42 | 62 | 0.8656 | 0.6540 | 0.6600
cifar10_dvs | binary | 42 | 63 | 0.8708 | 0.6260 | 0.6600
cifar10_dvs | binary | 42 | 64 | 0.8771 | 0.6420 | 0.6600
cifar10_dvs | binary | 42 | 65 | 0.8812 | 0.6690 | 0.6690
cifar10_dvs | binary | 42 | 66 | 0.8780 | 0.6600 | 0.6690
cifar10_dvs | binary | 42 | 67 | 0.8859 | 0.6560 | 0.6690
cifar10_dvs | binary | 42 | 68 | 0.8881 | 0.6620 | 0.6690
cifar10_dvs | binary | 42 | 69 | 0.8895 | 0.6430 | 0.6690
cifar10_dvs | binary | 42 | 70 | 0.8938 | 0.6380 | 0.6690
cifar10_dvs | binary | 42 | 71 | 0.8904 | 0.6600 | 0.6690
cifar10_dvs | binary | 42 | 72 | 0.8928 | 0.6560 | 0.6690
