cifar10_dvs | binary | 42 | 1 | 0.1695 | 0.2320 | 0.2320
cifar10_dvs | binary | 42 | 2 | 0.2477 | 0.2970 | 0.2970
cifar10_dvs | binary | 42 | 3 | 0.3145 | 0.3110 | 0.3110
cifar10_dvs | binary | 42 | 4 | 0.3496 | 0.3580 | 0.3580
cifar10_dvs | binary | 42 | 5 | 0.3805 | 0.3830 | 0.3830
cifar10_dvs | binary | 42 | 6 | 0.4025 | 0.4020 | 0.4020
cifar10_dvs | binary | 42 | 7 | 0.4141 | 0.3720 | 0.4020
cifar10_dvs | binary | 42 | 8 | 0.4281 | 0.4100 | 0.4100
cifar10_dvs | binary | 42 | 9 | 0.4465 | 0.4250 | 0.4250
cifar10_dvs | binary | 42 | 10 | 0.4530 | 0.4620 | 0.4620
cifar10_dvs | binary | 42 | 11 | 0.4741 | 0.4610 | 0.4620
cifar10_dvs | binary | 42 | 12 | 0.4964 | 0.4690 | 0.4690
cifar10_dvs | binary | 42 | 13 | 0.5165 | 0.4680 | 0.4690
cifar10_dvs | binary | 42 | 14 | 0.5248 | 0.4990 | 0.4990
cifar10_dvs | binary | 42 | 15 | 0.5446 | 0.5050 | 0.5050
cifar10_dvs | binary | 42 | 16 | 0.5644 | 0.5130 | 0.5130
cifar10_dvs | binary | 42 | 17 | 0.5781 | 0.5170 | 0.5170
cifar10_dvs | binary | 42 | 18 | 0.5895 | 0.5280 | 0.5280
cifar10_dvs | binary | 42 | 19 | 0.5907 | 0.4930 | 0.5280
cifar10_dvs | binary | 42 | 20 | 0.6051 | 0.5570 | 0.5570
cifar10_dvs | binary | 42 | 21 | 0.6126 | 0.5640 | 0.5640
cifar10_dvs | binary | 42 | 22 | 0.6220 | 0.5310 | 0.5640
cifar10_dvs | binary | 42 | 23 | 0.6334 | 0.5590 | 0.5640
cifar10_dvs | binary | 42 | 24 | 0.6378 | 0.5270 | 0.5640
cifar10_dvs | binary | 42 | 25 | 0.6534 | 0.5670 | 0.5670
cifar10_dvs | binary | 42 | 26 | 0.6550 | 0.5980 | 0.5980
cifar10_dvs | binary | 42 | 27 | 0.6684 | 0.5920 | 0.5980
cifar10_dvs | binary | 42 | 28 | 0.6719 | 0.5800 | 0.5980
cifar10_dvs | binary | 42 | 29 | 0.6821 | 0.5920 | 0.5980
cifar10_dvs | binary | 42 | 30 | 0.6956 | 0.5720 | 0.5980
cifar10_dvs | binary | 42 | 31 | 0.6931 | 0.5640 | 0.5980
cifar10_dvs | binary | 42 | 32 | 0.7103 | 0.5980 | 0.5980
cifar10_dvs | binary | 42 | 33 | 0.7069 | 0.5890 | 0.5980
cifar10_dvs | binary | 42 | 34 | 0.7239 | 0.5770 | 0.5980
cifar10_dvs | binary | 42 | 35 | 0.7290 | 0.5870 | 0.5980
cifar10_dvs | binary | 42 | 36 | 0.7376 | 0.6080 | 0.6080
cifar10_dvs | binary | 42 | 37 | 0.7480 | 0.6090 | 0.6090
cifar10_dvs | binary | 42 | 38 | 0.7525 | 0.6100 | 0.6100
cifar10_dvs | binary | 42 | 39 | 0.7605 | 0.6040 | 0.6100
cifar10_dvs | binary | 42 | 40 | 0.7601 | 0.6050 | 0.6100
cifar10_dvs | binary | 42 | 41 | 0.7740 | 0.6160 | 0.6160
cifar10_dvs | binary | 42 | 42 | 0.7819 | 0.6180 | 0.6180
