cifar10_dvs | binary | 42 | 1 | 0.2550 | 0.3120 | 0.3120
cifar10_dvs | binary | 42 | 2 | 0.3689 | 0.2950 | 0.3120
cifar10_dvs | binary | 42 | 3 | 0.4366 | 0.4300 | 0.4300
cifar10_dvs | binary | 42 | 4 | 0.4730 | 0.4640 | 0.4640
cifar10_dvs | binary | 42 | 5 | 0.5100 | 0.4990 | 0.4990
cifar10_dvs | binary | 42 | 6 | 0.5404 | 0.4630 | 0.4990
cifar10_dvs | binary | 42 | 7 | 0.5606 | 0.5060 | 0.5060
cifar10_dvs | binary | 42 | 8 | 0.5847 | 0.5170 | 0.5170
cifar10_dvs | binary | 42 | 9 | 0.6104 | 0.5730 | 0.5730
cifar10_dvs | binary | 42 | 10 | 0.6150 | 0.4970 | 0.5730
cifar10_dvs | binary | 42 | 11 | 0.6348 | 0.5680 | 0.5730
cifar10_dvs | binary | 42 | 12 | 0.6458 | 0.5330 | 0.5730
cifar10_dvs | binary | 42 | 13 | 0.6623 | 0.5540 | 0.5730
cifar10_dvs | binary | 42 | 14 | 0.6794 | 0.5280 | 0.5730
cifar10_dvs | binary | 42 | 15 | 0.6876 | 0.5580 | 0.5730
cifar10_dvs | binary | 42 | 16 | 0.7017 | 0.5760 | 0.5760
cifar10_dvs | binary | 42 | 17 | 0.7075 | 0.5600 | 0.5760
cifar10_dvs | binary | 42 | 18 | 0.7225 | 0.5770 | 0.5770
cifar10_dvs | binary | 42 | 19 | 0.7299 | 0.5850 | 0.5850
cifar10_dvs | binary | 42 | 20 | 0.7398 | 0.5780 | 0.5850
cifar10_dvs | binary | 42 | 21 | 0.7528 | 0.6120 | 0.6120
cifar10_dvs | binary | 42 | 22 | 0.7581 | 0.5940 | 0.6120
cifar10_dvs | binary | 42 | 23 | 0.7626 | 0.6030 | 0.6120
cifar10_dvs | binary | 42 | 24 | 0.7716 | 0.6250 | 0.6250
cifar10_dvs | binary | 42 | 25 | 0.7864 | 0.5940 | 0.6250
cifar10_dvs | binary | 42 | 26 | 0.7957 | 0.6070 | 0.6250
cifar10_dvs | binary | 42 | 27 | 0.8109 | 0.5890 | 0.6250
cifar10_dvs | binary | 42 | 28 | 0.8106 | 0.5480 | 0.6250
cifar10_dvs | binary | 42 | 29 | 0.8194 | 0.5610 | 0.6250
cifar10_dvs | binary | 42 | 30 | 0.8364 | 0.5970 | 0.6250
cifar10_dvs | binary | 42 | 31 | 0.8346 | 0.5760 | 0.6250
cifar10_dvs | binary | 42 | 32 | 0.8469 | 0.5810 | 0.6250
cifar10_dvs | binary | 42 | 33 | 0.8501 | 0.5730 | 0.6250
cifar10_dvs | binary | 42 | 34 | 0.8558 | 0.5840 | 0.6250
cifar10_dvs | binary | 42 | 35 | 0.8640 | 0.6080 | 0.6250
cifar10_dvs | binary | 42 | 36 | 0.8691 | 0.6160 | 0.6250
cifar10_dvs | binary | 42 | 37 | 0.8795 | 0.6190 | 0.6250
cifar10_dvs | binary | 42 | 38 | 0.8842 | 0.6090 | 0.6250
cifar10_dvs | binary | 42 | 39 | 0.8862 | 0.6000 | 0.6250
cifar10_dvs | binary | 42 | 40 | 0.8925 | 0.6080 | 0.6250
cifar10_dvs | binary | 42 | 41 | 0.8988 | 0.6150 | 0.6250
cifar10_dvs | binary | 42 | 42 | 0.9081 | 0.6100 | 0.6250
cifar10_dvs | binary | 42 | 43 | 0.9066 | 0.6150 | 0.6250
cifar10_dvs | binary | 42 | 44 | 0.9120 | 0.6120 | 0.6250
cifar10_dvs | binary | 42 | 45 | 0.9149 | 0.6040 | 0.6250
cifar10_dvs | binary | 42 | 46 | 0.9210 | 0.6140 | 0.6250
cifar10_dvs | binary | 42 | 47 | 0.9236 | 0.6270 | 0.6270
cifar10_dvs | binary | 42 | 48 | 0.9286 | 0.6280 | 0.6280
cifar10_dvs | binary | 42 | 49 | 0.9284 | 0.6090 | 0.6280
cifar10_dvs | binary | 42 | 50 | 0.9296 | 0.6100 | 0.6280
cifar10_dvs | binary | 42 | 51 | 0.9365 | 0.6160 | 0.6280
cifar10_dvs | binary | 42 | 52 | 0.9336 | 0.6370 | 0.6370
cifar10_dvs | binary | 42 | 53 | 0.9345 | 0.6080 | 0.6370
cifar10_dvs | binary | 42 | 54 | 0.9366 | 0.6140 | 0.6370
cifar10_dvs | binary | 42 | 55 | 0.9394 | 0.6300 | 0.6370
cifar10_dvs | binary | 42 | 56 | 0.9413 | 0.6240 | 0.6370
cifar10_dvs | binary | 42 | 57 | 0.9405 | 0.6200 | 0.6370
cifar10_dvs | binary | 42 | 58 | 0.9437 | 0.6210 | 0.6370
cifar10_dvs | binary | 42 | 59 | 0.9399 | 0.6290 | 0.6370
cifar10_dvs | binary | 42 | 60 | 0.9426 | 0.6240 | 0.6370
