cifar10_dvs | binary | 42 | 1 | 0.2592 | 0.1310 | 0.1310
cifar10_dvs | binary | 42 | 2 | 0.3410 | 0.2790 | 0.2790
cifar10_dvs | binary | 42 | 3 | 0.3755 | 0.2690 | 0.2790
cifar10_dvs | binary | 42 | 4 | 0.4020 | 0.3000 | 0.3000
cifar10_dvs | binary | 42 | 5 | 0.4285 | 0.3380 | 0.3380
cifar10_dvs | binary | 42 | 6 | 0.4535 | 0.4100 | 0.4100
cifar10_dvs | binary | 42 | 7 | 0.4615 | 0.4230 | 0.4230
cifar10_dvs | binary | 42 | 8 | 0.4709 | 0.4050 | 0.4230
cifar10_dvs | binary | 42 | 9 | 0.4834 | 0.4100 | 0.4230
cifar10_dvs | binary | 42 | 10 | 0.4889 | 0.4070 | 0.4230
cifar10_dvs | binary | 42 | 11 | 0.4921 | 0.4630 | 0.4630
cifar10_dvs | binary | 42 | 12 | 0.5089 | 0.4650 | 0.4650
cifar10_dvs | binary | 42 | 13 | 0.5141 | 0.3400 | 0.4650
cifar10_dvs | binary | 42 | 14 | 0.5219 | 0.4590 | 0.4650
cifar10_dvs | binary | 42 | 15 | 0.5312 | 0.4630 | 0.4650
cifar10_dvs | binary | 42 | 16 | 0.5386 | 0.4900 | 0.4900
cifar10_dvs | binary | 42 | 17 | 0.5316 | 0.4660 | 0.4900
cifar10_dvs | binary | 42 | 18 | 0.5393 | 0.4080 | 0.4900
cifar10_dvs | binary | 42 | 19 | 0.5421 | 0.5100 | 0.5100
cifar10_dvs | binary | 42 | 20 | 0.5509 | 0.4700 | 0.5100
cifar10_dvs | binary | 42 | 21 | 0.5606 | 0.5110 | 0.5110
cifar10_dvs | binary | 42 | 22 | 0.5621 | 0.4760 | 0.5110
cifar10_dvs | binary | 42 | 23 | 0.5696 | 0.5330 | 0.5330
cifar10_dvs | binary | 42 | 24 | 0.5721 | 0.5000 | 0.5330
cifar10_dvs | binary | 42 | 25 | 0.5677 | 0.5380 | 0.5380
cifar10_dvs | binary | 42 | 26 | 0.5860 | 0.4990 | 0.5380
cifar10_dvs | binary | 42 | 27 | 0.5799 | 0.4980 | 0.5380
cifar10_dvs | binary | 42 | 28 | 0.5843 | 0.5020 | 0.5380
cifar10_dvs | binary | 42 | 29 | 0.5871 | 0.4970 | 0.5380
cifar10_dvs | binary | 42 | 30 | 0.5934 | 0.4570 | 0.5380
cifar10_dvs | binary | 42 | 31 | 0.5968 | 0.5520 | 0.5520
cifar10_dvs | binary | 42 | 32 | 0.6016 | 0.5150 | 0.5520
cifar10_dvs | binary | 42 | 33 | 0.6026 | 0.5110 | 0.5520
cifar10_dvs | binary | 42 | 34 | 0.6055 | 0.5300 | 0.5520
cifar10_dvs | binary | 42 | 35 | 0.6072 | 0.5350 | 0.5520
cifar10_dvs | binary | 42 | 36 | 0.6126 | 0.5370 | 0.5520
cifar10_dvs | binary | 42 | 37 | 0.6072 | 0.4570 | 0.5520
cifar10_dvs | binary | 42 | 38 | 0.6136 | 0.5430 | 0.5520
cifar10_dvs | binary | 42 | 39 | 0.6194 | 0.5220 | 0.5520
cifar10_dvs | binary | 42 | 40 | 0.6171 | 0.5220 | 0.5520
cifar10_dvs | binary | 42 | 41 | 0.6258 | 0.5170 | 0.5520
cifar10_dvs | binary | 42 | 42 | 0.6298 | 0.5270 | 0.5520
cifar10_dvs | binary | 42 | 43 | 0.6248 | 0.5100 | 0.5520
cifar10_dvs | binary | 42 | 44 | 0.6324 | 0.5550 | 0.5550
cifar10_dvs | binary | 42 | 45 | 0.6348 | 0.5430 | 0.5550
cifar10_dvs | binary | 42 | 46 | 0.6326 | 0.5300 | 0.5550
cifar10_dvs | binary | 42 | 47 | 0.6409 | 0.5370 | 0.5550
cifar10_dvs | binary | 42 | 48 | 0.6402 | 0.5440 | 0.5550
cifar10_dvs | binary | 42 | 49 | 0.6435 | 0.5640 | 0.5640
cifar10_dvs | binary | 42 | 50 | 0.6460 | 0.5730 | 0.5730
cifar10_dvs | binary | 42 | 51 | 0.6434 | 0.5510 | 0.5730
cifar10_dvs | binary | 42 | 52 | 0.6465 | 0.5440 | 0.5730
cifar10_dvs | binary | 42 | 53 | 0.6456 | 0.5630 | 0.5730
cifar10_dvs | binary | 42 | 54 | 0.6472 | 0.5580 | 0.5730
cifar10_dvs | binary | 42 | 55 | 0.6565 | 0.5110 | 0.5730
cifar10_dvs | binary | 42 | 56 | 0.6575 | 0.5290 | 0.5730
cifar10_dvs | binary | 42 | 57 | 0.6562 | 0.5500 | 0.5730
cifar10_dvs | binary | 42 | 58 | 0.6534 | 0.5340 | 0.5730
cifar10_dvs | binary | 42 | 59 | 0.6585 | 0.5470 | 0.5730
cifar10_dvs | binary | 42 | 60 | 0.6601 | 0.5580 | 0.5730
cifar10_dvs | binary | 42 | 61 | 0.6654 | 0.5370 | 0.5730
cifar10_dvs | binary | 42 | 62 | 0.6609 | 0.5630 | 0.5730
cifar10_dvs | binary | 42 | 63 | 0.6647 | 0.5840 | 0.5840
cifar10_dvs | binary | 42 | 64 | 0.6651 | 0.5520 | 0.5840
cifar10_dvs | binary | 42 | 65 | 0.6664 | 0.5680 | 0.5840
cifar10_dvs | binary | 42 | 66 | 0.6723 | 0.5750 | 0.5840
cifar10_dvs | binary | 42 | 67 | 0.6694 | 0.5750 | 0.5840
cifar10_dvs | binary | 42 | 68 | 0.6684 | 0.5710 | 0.5840
cifar10_dvs | binary | 42 | 69 | 0.6800 | 0.5510 | 0.5840
cifar10_dvs | binary | 42 | 70 | 0.6691 | 0.5640 | 0.5840
cifar10_dvs | binary | 42 | 71 | 0.6761 | 0.5750 | 0.5840
cifar10_dvs | binary | 42 | 72 | 0.6759 | 0.5630 | 0.5840
cifar10_dvs | binary | 42 | 73 | 0.6807 | 0.5710 | 0.5840
cifar10_dvs | binary | 42 | 74 | 0.6771 | 0.5920 | 0.5920
cifar10_dvs | binary | 42 | 75 | 0.6763 | 0.5730 | 0.5920
cifar10_dvs | binary | 42 | 76 | 0.6861 | 0.5790 | 0.5920
cifar10_dvs | binary | 42 | 77 | 0.6784 | 0.5820 | 0.5920
cifar10_dvs | binary | 42 | 78 | 0.6843 | 0.5810 | 0.5920
cifar10_dvs | binary | 42 | 79 | 0.6823 | 0.5680 | 0.5920
cifar10_dvs | binary | 42 | 80 | 0.6826 | 0.5660 | 0.5920
cifar10_dvs | binary | 42 | 81 | 0.6830 | 0.5810 | 0.5920
cifar10_dvs | binary | 42 | 82 | 0.6804 | 0.5770 | 0.5920
cifar10_dvs | binary | 42 | 83 | 0.6881 | 0.5790 | 0.5920
cifar10_dvs | binary | 42 | 84 | 0.6853 | 0.5770 | 0.5920
cifar10_dvs | binary | 42 | 85 | 0.6863 | 0.5800 | 0.5920
cifar10_dvs | binary | 42 | 86 | 0.6915 | 0.5740 | 0.5920
cifar10_dvs | binary | 42 | 87 | 0.6897 | 0.5730 | 0.5920
cifar10_dvs | binary | 42 | 88 | 0.6905 | 0.5820 | 0.5920
cifar10_dvs | binary | 42 | 89 | 0.6867 | 0.5710 | 0.5920
