cifar10_dvs | integer | 42 | 1 | 0.3108 | 0.3080 | 0.3080
cifar10_dvs | integer | 42 | 2 | 0.3980 | 0.3580 | 0.3580
cifar10_dvs | integer | 42 | 3 | 0.4459 | 0.4160 | 0.4160
cifar10_dvs | integer | 42 | 4 | 0.4795 | 0.3690 | 0.4160
cifar10_dvs | integer | 42 | 5 | 0.5119 | 0.4860 | 0.4860
cifar10_dvs | integer | 42 | 6 | 0.5411 | 0.4670 | 0.4860
cifar10_dvs | integer | 42 | 7 | 0.5630 | 0.4700 | 0.4860
cifar10_dvs | integer | 42 | 8 | 0.5775 | 0.5170 | 0.5170
cifar10_dvs | integer | 42 | 9 | 0.5990 | 0.5460 | 0.5460
cifar10_dvs | integer | 42 | 10 | 0.6145 | 0.5430 | 0.5460
cifar10_dvs | integer | 42 | 11 | 0.6278 | 0.5450 | 0.5460
cifar10_dvs | integer | 42 | 12 | 0.6386 | 0.5760 | 0.5760
cifar10_dvs | integer | 42 | 13 | 0.6478 | 0.5610 | 0.5760
cifar10_dvs | integer | 42 | 14 | 0.6686 | 0.5010 | 0.5760
cifar10_dvs | integer | 42 | 15 | 0.6761 | 0.5380 | 0.5760
cifar10_dvs | integer | 42 | 16 | 0.6851 | 0.5970 | 0.5970
cifar10_dvs | integer | 42 | 17 | 0.6945 | 0.6010 | 0.6010
cifar10_dvs | integer | 42 | 18 | 0.7049 | 0.5830 | 0.6010
cifar10_dvs | integer | 42 | 19 | 0.7146 | 0.6080 | 0.6080
cifar10_dvs | integer | 42 | 20 | 0.7239 | 0.5850 | 0.6080
cifar10_dvs | integer | 42 | 21 | 0.7338 | 0.6010 | 0.6080
cifar10_dvs | integer | 42 | 22 | 0.7464 | 0.6140 | 0.6140
cifar10_dvs | integer | 42 | 23 | 0.7516 | 0.6280 | 0.6280
cifar10_dvs | integer | 42 | 24 | 0.7608 | 0.6340 | 0.6340
cifar10_dvs | integer | 42 | 25 | 0.7659 | 0.6150 | 0.6340
cifar10_dvs | integer | 42 | 26 | 0.7820 | 0.5660 | 0.6340
cifar10_dvs | integer | 42 | 27 | 0.7817 | 0.6230 | 0.6340
cifar10_dvs | integer | 42 | 28 | 0.7924 | 0.6330 | 0.6340
cifar10_dvs | integer | 42 | 29 | 0.7980 | 0.6390 | 0.6390
cifar10_dvs | integer | 42 | 30 | 0.8019 | 0.6260 | 0.6390
cifar10_dvs | integer | 42 | 31 | 0.8167 | 0.6480 | 0.6480
cifar10_dvs | integer | 42 | 32 | 0.8204 | 0.6420 | 0.6480
cifar10_dvs | integer | 42 | 33 | 0.8254 | 0.6480 | 0.6480
cifar10_dvs | integer | 42 | 34 | 0.8314 | 0.6500 | 0.6500
cifar10_dvs | integer | 42 | 35 | 0.8396 | 0.6150 | 0.6500
cifar10_dvs | integer | 42 | 36 | 0.8465 | 0.6390 | 0.6500
cifar10_dvs | integer | 42 | 37 | 0.8522 | 0.6460 | 0.6500
cifar10_dvs | integer | 42 | 38 | 0.8560 | 0.6640 | 0.6640
cifar10_dvs | integer | 42 | 39 | 0.8610 | 0.6550 | 0.6640
cifar10_dvs | integer | 42 | 40 | 0.8654 | 0.6460 | 0.6640
cifar10_dvs | integer | 42 | 41 | 0.8679 | 0.6530 | 0.6640
cifar10_dvs | integer | 42 | 42 | 0.8778 | 0.6690 | 0.6690
cifar10_dvs | integer | 42 | 43 | 0.8781 | 0.6710 | 0.6710
cifar10_dvs | integer | 42 | 44 | 0.8868 | 0.6630 | 0.6710
cifar10_dvs | integer | 42 | 45 | 0.8888 | 0.6570 | 0.6710
cifar10_dvs | integer | 42 | 46 | 0.8945 | 0.6600 | 0.6710
cifar10_dvs | integer | 42 | 47 | 0.8978 | 0.6600 | 0.6710
cifar10_dvs | integer | 42 | 48 | 0.8948 | 0.6670 | 0.6710
cifar10_dvs | integer | 42 | 49 | 0.8981 | 0.6650 | 0.6710
cifar10_dvs | integer | 42 | 50 | 0.8971 | 0.6600 | 0.6710
cifar10_dvs | integer | 42 | 51 | 0.9064 | 0.6640 | 0.6710
cifar10_dvs | integer | 42 | 52 | 0.9099 | 0.6790 | 0.6790
cifar10_dvs | integer | 42 | 53 | 0.9066 | 0.6700 | 0.6790
cifar10_dvs | integer | 42 | 54 | 0.9075 | 0.6760 | 0.6790
cifar10_dvs | integer | 42 | 55 | 0.9083 | 0.6690 | 0.6790
cifar10_dvs | integer | 42 | 56 | 0.9176 | 0.6730 | 0.6790
cifar10_dvs | integer | 42 | 57 | 0.9096 | 0.6720 | 0.6790
cifar10_dvs | integer | 42 | 58 | 0.9106 | 0.6820 | 0.6820
cifar10_dvs | integer | 42 | 59 | 0.9121 | 0.6770 | 0.6820
cifar10_dvs | integer | 42 | 60 | 0.9091 | 0.6790 | 0.6820
