cifar10_dvs | binary | 42 | 1 | 0.3209 | 0.3180 | 0.3180
cifar10_dvs | binary | 42 | 2 | 0.4146 | 0.3670 | 0.3670
cifar10_dvs | binary | 42 | 3 | 0.4690 | 0.4190 | 0.4190
cifar10_dvs | binary | 42 | 4 | 0.5045 | 0.4720 | 0.4720
cifar10_dvs | binary | 42 | 5 | 0.5397 | 0.4780 | 0.4780
cifar10_dvs | binary | 42 | 6 | 0.5540 | 0.4880 | 0.4880
cifar10_dvs | binary | 42 | 7 | 0.5780 | 0.4750 | 0.4880
cifar10_dvs | binary | 42 | 8 | 0.6004 | 0.4550 | 0.4880
cifar10_dvs | binary | 42 | 9 | 0.6125 | 0.5380 | 0.5380
cifar10_dvs | binary | 42 | 10 | 0.6304 | 0.5190 | 0.5380
cifar10_dvs | binary | 42 | 11 | 0.6494 | 0.4620 | 0.5380
cifar10_dvs | binary | 42 | 12 | 0.6589 | 0.5120 | 0.5380
cifar10_dvs | binary | 42 | 13 | 0.6629 | 0.4160 | 0.5380
cifar10_dvs | binary | 42 | 14 | 0.6869 | 0.4520 | 0.5380
cifar10_dvs | binary | 42 | 15 | 0.6897 | 0.5700 | 0.5700
cifar10_dvs | binary | 42 | 16 | 0.6947 | 0.5940 | 0.5940
cifar10_dvs | binary | 42 | 17 | 0.7137 | 0.5630 | 0.5940
cifar10_dvs | binary | 42 | 18 | 0.7204 | 0.5690 | 0.5940
cifar10_dvs | binary | 42 | 19 | 0.7332 | 0.5930 | 0.5940
cifar10_dvs | binary | 42 | 20 | 0.7469 | 0.6140 | 0.6140
cifar10_dvs | binary | 42 | 21 | 0.7558 | 0.6090 | 0.6140
cifar10_dvs | binary | 42 | 22 | 0.7602 | 0.6020 | 0.6140
cifar10_dvs | binary | 42 | 23 | 0.7686 | 0.6000 | 0.6140
cifar10_dvs | binary | 42 | 24 | 0.7739 | 0.5520 | 0.6140
cifar10_dvs | binary | 42 | 25 | 0.7845 | 0.6100 | 0.6140
cifar10_dvs | binary | 42 | 26 | 0.8033 | 0.6120 | 0.6140
cifar10_dvs | binary | 42 | 27 | 0.7991 | 0.6200 | 0.6200
cifar10_dvs | binary | 42 | 28 | 0.8075 | 0.5960 | 0.6200
cifar10_dvs | binary | 42 | 29 | 0.8211 | 0.5800 | 0.6200
cifar10_dvs | binary | 42 | 30 | 0.8314 | 0.6120 | 0.6200
cifar10_dvs | binary | 42 | 31 | 0.8364 | 0.5960 | 0.6200
cifar10_dvs | binary | 42 | 32 | 0.8444 | 0.6140 | 0.6200
cifar10_dvs | binary | 42 | 33 | 0.8554 | 0.6430 | 0.6430
cifar10_dvs | binary | 42 | 34 | 0.8611 | 0.6250 | 0.6430
cifar10_dvs | binary | 42 | 35 | 0.8715 | 0.6210 | 0.6430
cifar10_dvs | binary | 42 | 36 | 0.8695 | 0.6290 | 0.6430
cifar10_dvs | binary | 42 | 37 | 0.8806 | 0.6060 | 0.6430
cifar10_dvs | binary | 42 | 38 | 0.8775 | 0.6580 | 0.6580
cifar10_dvs | binary | 42 | 39 | 0.8966 | 0.6250 | 0.6580
cifar10_dvs | binary | 42 | 40 | 0.8956 | 0.6410 | 0.6580
cifar10_dvs | binary | 42 | 41 | 0.9019 | 0.6130 | 0.6580
cifar10_dvs | binary | 42 | 42 | 0.9071 | 0.6370 | 0.6580
cifar10_dvs | binary | 42 | 43 | 0.9171 | 0.6510 | 0.6580
cifar10_dvs | binary | 42 | 44 | 0.9224 | 0.5910 | 0.6580
cifar10_dvs | binary | 42 | 45 | 0.9256 | 0.6380 | 0.6580
cifar10_dvs | binary | 42 | 46 | 0.9361 | 0.6320 | 0.6580
cifar10_dvs | binary | 42 | 47 | 0.9387 | 0.6640 | 0.6640
cifar10_dvs | binary | 42 | 48 | 0.9361 | 0.6450 | 0.6640
cifar10_dvs | binary | 42 | 49 | 0.9423 | 0.6620 | 0.6640
cifar10_dvs | binary | 42 | 50 | 0.9477 | 0.6310 | 0.6640
cifar10_dvs | binary | 42 | 51 | 0.9509 | 0.6560 | 0.6640
cifar10_dvs | binary | 42 | 52 | 0.9529 | 0.6510 | 0.6640
cifar10_dvs | binary | 42 | 53 | 0.9576 | 0.6240 | 0.6640
cifar10_dvs | binary | 42 | 54 | 0.9605 | 0.6530 | 0.6640
cifar10_dvs | binary | 42 | 55 | 0.9651 | 0.6480 | 0.6640
