cifar10_dvs | binary | 42 | 1 | 0.3166 | 0.2720 | 0.2720
cifar10_dvs | binary | 42 | 2 | 0.3981 | 0.4000 | 0.4000
cifar10_dvs | binary | 42 | 3 | 0.4592 | 0.4170 | 0.4170
cifar10_dvs | binary | 42 | 4 | 0.4848 | 0.4500 | 0.4500
cifar10_dvs | binary | 42 | 5 | 0.5138 | 0.4700 | 0.4700
cifar10_dvs | binary | 42 | 6 | 0.5386 | 0.4740 | 0.4740
cifar10_dvs | binary | 42 | 7 | 0.5616 | 0.4900 | 0.4900
cifar10_dvs | binary | 42 | 8 | 0.5819 | 0.3970 | 0.4900
cifar10_dvs | binary | 42 | 9 | 0.5976 | 0.5450 | 0.5450
cifar10_dvs | binary | 42 | 10 | 0.6158 | 0.5380 | 0.5450
cifar10_dvs | binary | 42 | 11 | 0.6298 | 0.5260 | 0.5450
cifar10_dvs | binary | 42 | 12 | 0.6428 | 0.5660 | 0.5660
cifar10_dvs | binary | 42 | 13 | 0.6498 | 0.5420 | 0.5660
cifar10_dvs | binary | 42 | 14 | 0.6594 | 0.5130 | 0.5660
cifar10_dvs | binary | 42 | 15 | 0.6714 | 0.5860 | 0.5860
cifar10_dvs | binary | 42 | 16 | 0.6796 | 0.5770 | 0.5860
cifar10_dvs | binary | 42 | 17 | 0.6870 | 0.5020 | 0.5860
cifar10_dvs | binary | 42 | 18 | 0.6983 | 0.5180 | 0.5860
cifar10_dvs | binary | 42 | 19 | 0.7097 | 0.5730 | 0.5860
cifar10_dvs | binary | 42 | 20 | 0.7147 | 0.6140 | 0.6140
cifar10_dvs | binary | 42 | 21 | 0.7299 | 0.5640 | 0.6140
cifar10_dvs | binary | 42 | 22 | 0.7332 | 0.6050 | 0.6140
cifar10_dvs | binary | 42 | 23 | 0.7424 | 0.6200 | 0.6200
cifar10_dvs | binary | 42 | 24 | 0.7488 | 0.5660 | 0.6200
cifar10_dvs | binary | 42 | 25 | 0.7479 | 0.6100 | 0.6200
cifar10_dvs | binary | 42 | 26 | 0.7695 | 0.6100 | 0.6200
cifar10_dvs | binary | 42 | 27 | 0.7738 | 0.6250 | 0.6250
cifar10_dvs | binary | 42 | 28 | 0.7789 | 0.6030 | 0.6250
cifar10_dvs | binary | 42 | 29 | 0.7865 | 0.6050 | 0.6250
cifar10_dvs | binary | 42 | 30 | 0.7940 | 0.6420 | 0.6420
cifar10_dvs | binary | 42 | 31 | 0.8000 | 0.6180 | 0.6420
cifar10_dvs | binary | 42 | 32 | 0.8103 | 0.6300 | 0.6420
cifar10_dvs | binary | 42 | 33 | 0.8137 | 0.6390 | 0.6420
cifar10_dvs | binary | 42 | 34 | 0.8199 | 0.6240 | 0.6420
cifar10_dvs | binary | 42 | 35 | 0.8281 | 0.6280 | 0.6420
cifar10_dvs | binary | 42 | 36 | 0.8353 | 0.6360 | 0.6420
cifar10_dvs | binary | 42 | 37 | 0.8416 | 0.6520 | 0.6520
cifar10_dvs | binary | 42 | 38 | 0.8470 | 0.6570 | 0.6570
cifar10_dvs | binary | 42 | 39 | 0.8560 | 0.6300 | 0.6570
cifar10_dvs | binary | 42 | 40 | 0.8545 | 0.6510 | 0.6570
cifar10_dvs | binary | 42 | 41 | 0.8635 | 0.6510 | 0.6570
cifar10_dvs | binary | 42 | 42 | 0.8651 | 0.6620 | 0.6620
cifar10_dvs | binary | 42 | 43 | 0.8721 | 0.6620 | 0.6620
cifar10_dvs | binary | 42 | 44 | 0.8800 | 0.6570 | 0.6620
cifar10_dvs | binary | 42 | 45 | 0.8862 | 0.6430 | 0.6620
cifar10_dvs | binary | 42 | 46 | 0.8969 | 0.6570 | 0.6620
cifar10_dvs | binary | 42 | 47 | 0.8895 | 0.6640 | 0.6640
cifar10_dvs | binary | 42 | 48 | 0.8949 | 0.6590 | 0.6640
cifar10_dvs | binary | 42 | 49 | 0.9055 | 0.6710 | 0.6710
cifar10_dvs | binary | 42 | 50 | 0.9110 | 0.6180 | 0.6710
cifar10_dvs | binary | 42 | 51 | 0.9131 | 0.6500 | 0.6710
cifar10_dvs | binary | 42 | 52 | 0.9165 | 0.6560 | 0.6710
cifar10_dvs | binary | 42 | 53 | 0.9189 | 0.6380 | 0.6710
cifar10_dvs | binary | 42 | 54 | 0.9285 | 0.6590 | 0.6710
cifar10_dvs | binary | 42 | 55 | 0.9281 | 0.6690 | 0.6710
cifar10_dvs | binary | 42 | 56 | 0.9346 | 0.6780 | 0.6780
cifar10_dvs | binary | 42 | 57 | 0.9380 | 0.6600 | 0.6780
cifar10_dvs | binary | 42 | 58 | 0.9375 | 0.6340 | 0.6780
cifar10_dvs | binary | 42 | 59 | 0.9440 | 0.6520 | 0.6780
cifar10_dvs | binary | 42 | 60 | 0.9450 | 0.6720 | 0.6780
cifar10_dvs | binary | 42 | 61 | 0.9496 | 0.6560 | 0.6780
cifar10_dvs | binary | 42 | 62 | 0.9507 | 0.6700 | 0.6780
cifar10_dvs | binary | 42 | 63 | 0.9536 | 0.6790 | 0.6790
cifar10_dvs | binary | 42 | 64 | 0.9576 | 0.6790 | 0.6790
cifar10_dvs | binary | 42 | 65 | 0.9601 | 0.6800 | 0.6800
