cifar10_dvs | integer | 42 | 1 | 0.3108 | 0.3080 | 0.3080
cifar10_dvs | integer | 42 | 2 | 0.3947 | 0.3750 | 0.3750
cifar10_dvs | integer | 42 | 3 | 0.4497 | 0.4100 | 0.4100
cifar10_dvs | integer | 42 | 4 | 0.4803 | 0.4030 | 0.4100
cifar10_dvs | integer | 42 | 5 | 0.5120 | 0.4890 | 0.4890
cifar10_dvs | integer | 42 | 6 | 0.5401 | 0.4900 | 0.4900
cifar10_dvs | integer | 42 | 7 | 0.5605 | 0.4570 | 0.4900
cifar10_dvs | integer | 42 | 8 | 0.5791 | 0.5310 | 0.5310
cifar10_dvs | integer | 42 | 9 | 0.6011 | 0.5370 | 0.5370
cifar10_dvs | integer | 42 | 10 | 0.6126 | 0.5500 | 0.5500
cifar10_dvs | integer | 42 | 11 | 0.6281 | 0.5480 | 0.5500
cifar10_dvs | integer | 42 | 12 | 0.6435 | 0.5640 | 0.5640
cifar10_dvs | integer | 42 | 13 | 0.6476 | 0.5590 | 0.5640
cifar10_dvs | integer | 42 | 14 | 0.6683 | 0.4960 | 0.5640
cifar10_dvs | integer | 42 | 15 | 0.6776 | 0.5410 | 0.5640
cifar10_dvs | integer | 42 | 16 | 0.6804 | 0.6020 | 0.6020
cifar10_dvs | integer | 42 | 17 | 0.6947 | 0.5950 | 0.6020
cifar10_dvs | integer | 42 | 18 | 0.7049 | 0.5750 | 0.6020
cifar10_dvs | integer | 42 | 19 | 0.7141 | 0.5950 | 0.6020
cifar10_dvs | integer | 42 | 20 | 0.7228 | 0.5790 | 0.6020
cifar10_dvs | integer | 42 | 21 | 0.7315 | 0.6000 | 0.6020
cifar10_dvs | integer | 42 | 22 | 0.7459 | 0.6230 | 0.6230
cifar10_dvs | integer | 42 | 23 | 0.7491 | 0.6240 | 0.6240
cifar10_dvs | integer | 42 | 24 | 0.7585 | 0.6090 | 0.6240
cifar10_dvs | integer | 42 | 25 | 0.7599 | 0.6250 | 0.6250
cifar10_dvs | integer | 42 | 26 | 0.7755 | 0.5280 | 0.6250
cifar10_dvs | integer | 42 | 27 | 0.7841 | 0.6110 | 0.6250
cifar10_dvs | integer | 42 | 28 | 0.7919 | 0.6200 | 0.6250
cifar10_dvs | integer | 42 | 29 | 0.7966 | 0.5710 | 0.6250
cifar10_dvs | integer | 42 | 30 | 0.8003 | 0.6060 | 0.6250
cifar10_dvs | integer | 42 | 31 | 0.8080 | 0.6280 | 0.6280
cifar10_dvs | integer | 42 | 32 | 0.8146 | 0.6260 | 0.6280
cifar10_dvs | integer | 42 | 33 | 0.8220 | 0.6440 | 0.6440
cifar10_dvs | integer | 42 | 34 | 0.8246 | 0.6480 | 0.6480
cifar10_dvs | integer | 42 | 35 | 0.8365 | 0.5960 | 0.6480
cifar10_dvs | integer | 42 | 36 | 0.8438 | 0.6190 | 0.6480
cifar10_dvs | integer | 42 | 37 | 0.8491 | 0.6360 | 0.6480
cifar10_dvs | integer | 42 | 38 | 0.8551 | 0.6570 | 0.6570
cifar10_dvs | integer | 42 | 39 | 0.8590 | 0.6480 | 0.6570
cifar10_dvs | integer | 42 | 40 | 0.8641 | 0.6090 | 0.6570
cifar10_dvs | integer | 42 | 41 | 0.8709 | 0.6520 | 0.6570
cifar10_dvs | integer | 42 | 42 | 0.8792 | 0.6740 | 0.6740
cifar10_dvs | integer | 42 | 43 | 0.8786 | 0.6630 | 0.6740
cifar10_dvs | integer | 42 | 44 | 0.8875 | 0.6440 | 0.6740
cifar10_dvs | integer | 42 | 45 | 0.8870 | 0.6300 | 0.6740
cifar10_dvs | integer | 42 | 46 | 0.8994 | 0.6650 | 0.6740
cifar10_dvs | integer | 42 | 47 | 0.9036 | 0.6730 | 0.6740
cifar10_dvs | integer | 42 | 48 | 0.9046 | 0.6510 | 0.6740
cifar10_dvs | integer | 42 | 49 | 0.9164 | 0.6590 | 0.6740
cifar10_dvs | integer | 42 | 50 | 0.9110 | 0.6460 | 0.6740
cifar10_dvs | integer | 42 | 51 | 0.9210 | 0.6510 | 0.6740
cifar10_dvs | integer | 42 | 52 | 0.9216 | 0.6590 | 0.6740
