dvs_gesture | binary | 42 | 1 | 0.5029 | 0.4491 | 0.4491
dvs_gesture | binary | 42 | 2 | 0.6423 | 0.5926 | 0.5926
dvs_gesture | binary | 42 | 3 | 0.7003 | 0.6852 | 0.6852
dvs_gesture | binary | 42 | 4 | 0.7154 | 0.5231 | 0.6852
dvs_gesture | binary | 42 | 5 | 0.7619 | 0.7593 | 0.7593
dvs_gesture | binary | 42 | 6 | 0.7584 | 0.4213 | 0.7593
dvs_gesture | binary | 42 | 7 | 0.7933 | 0.6991 | 0.7593
dvs_gesture | binary | 42 | 8 | 0.8037 | 0.7639 | 0.7639
dvs_gesture | binary | 42 | 9 | 0.8281 | 0.7407 | 0.7639
dvs_gesture | binary | 42 | 10 | 0.8107 | 0.4491 | 0.7639
dvs_gesture | binary | 42 | 11 | 0.8293 | 0.7407 | 0.7639
dvs_gesture | binary | 42 | 12 | 0.8618 | 0.7315 | 0.7639
dvs_gesture | binary | 42 | 13 | 0.8583 | 0.7593 | 0.7639
dvs_gesture | binary | 42 | 14 | 0.8606 | 0.7824 | 0.7824
dvs_gesture | binary | 42 | 15 | 0.8780 | 0.8056 | 0.8056
dvs_gesture | binary | 42 | 16 | 0.8792 | 0.8009 | 0.8056
dvs_gesture | binary | 42 | 17 | 0.8978 | 0.8056 | 0.8056
dvs_gesture | binary | 42 | 18 | 0.9071 | 0.8148 | 0.8148
dvs_gesture | binary | 42 | 19 | 0.8990 | 0.7824 | 0.8148
dvs_gesture | binary | 42 | 20 | 0.9001 | 0.8009 | 0.8148
dvs_gesture | binary | 42 | 21 | 0.9187 | 0.8102 | 0.8148
dvs_gesture | binary | 42 | 22 | 0.9303 | 0.8287 | 0.8287
dvs_gesture | binary | 42 | 23 | 0.9082 | 0.8333 | 0.8333
dvs_gesture | binary | 42 | 24 | 0.9245 | 0.8056 | 0.8333
dvs_gesture | binary | 42 | 25 | 0.9408 | 0.7963 | 0.8333
dvs_gesture | binary | 42 | 26 | 0.9350 | 0.8380 | 0.8380
dvs_gesture | binary | 42 | 27 | 0.9512 | 0.8333 | 0.8380
dvs_gesture | binary | 42 | 28 | 0.9512 | 0.7870 | 0.8380
dvs_gesture | binary | 42 | 29 | 0.9384 | 0.8287 | 0.8380
dvs_gesture | binary | 42 | 30 | 0.9326 | 0.8148 | 0.8380
dvs_gesture | binary | 42 | 31 | 0.9756 | 0.8472 | 0.8472
dvs_gesture | binary | 42 | 32 | 0.9663 | 0.8194 | 0.8472
dvs_gesture | binary | 42 | 33 | 0.9628 | 0.8704 | 0.8704
dvs_gesture | binary | 42 | 34 | 0.9663 | 0.8287 | 0.8704
dvs_gesture | binary | 42 | 35 | 0.9547 | 0.8472 | 0.8704
dvs_gesture | binary | 42 | 36 | 0.9803 | 0.8287 | 0.8704
dvs_gesture | binary | 42 | 37 | 0.9582 | 0.8287 | 0.8704
dvs_gesture | binary | 42 | 38 | 0.9559 | 0.8241 | 0.8704
dvs_gesture | binary | 42 | 39 | 0.9663 | 0.8796 | 0.8796
dvs_gesture | binary | 42 | 40 | 0.9849 | 0.8565 | 0.8796
dvs_gesture | binary | 42 | 41 | 0.9849 | 0.8519 | 0.8796
dvs_gesture | binary | 42 | 42 | 0.9907 | 0.8380 | 0.8796
dvs_gesture | binary | 42 | 43 | 0.9884 | 0.8472 | 0.8796
dvs_gesture | binary | 42 | 44 | 0.9872 | 0.8519 | 0.8796
dvs_gesture | binary | 42 | 45 | 0.9942 | 0.8889 | 0.8889
dvs_gesture | binary | 42 | 46 | 0.9930 | 0.8796 | 0.8889
dvs_gesture | binary | 42 | 47 | 0.9988 | 0.8519 | 0.8889
dvs_gesture | binary | 42 | 48 | 0.9977 | 0.8657 | 0.8889
dvs_gesture | binary | 42 | 49 | 0.9930 | 0.8704 | 0.8889
dvs_gesture | binary | 42 | 50 | 1.0000 | 0.8889 | 0.8889
dvs_gesture | binary | 42 | 51 | 0.9954 | 0.8843 | 0.8889
dvs_gesture | binary | 42 | 52 | 0.9930 | 0.8843 | 0.8889
dvs_gesture | binary | 42 | 53 | 0.9965 | 0.8380 | 0.8889
dvs_gesture | binary | 42 | 54 | 0.9988 | 0.8565 | 0.8889
dvs_gesture | binary | 42 | 55 | 0.9965 | 0.8611 | 0.8889
dvs_gesture | binary | 42 | 56 | 0.9942 | 0.8796 | 0.8889
dvs_gesture | binary | 42 | 57 | 0.9988 | 0.8657 | 0.8889
dvs_gesture | binary | 42 | 58 | 0.9988 | 0.8657 | 0.8889
dvs_gesture | binary | 42 | 59 | 0.9977 | 0.8796 | 0.8889
dvs_gesture | binary | 42 | 60 | 1.0000 | 0.8796 | 0.8889
dvs_gesture | binary | 42 | 61 | 1.0000 | 0.8935 | 0.8935
dvs_gesture | binary | 42 | 62 | 1.0000 | 0.8796 | 0.8935
