dvs_gesture | integer | 42 | 1 | 0.4646 | 0.5463 | 0.5463
dvs_gesture | integer | 42 | 2 | 0.6121 | 0.6157 | 0.6157
dvs_gesture | integer | 42 | 3 | 0.6516 | 0.6296 | 0.6296
dvs_gesture | integer | 42 | 4 | 0.6771 | 0.6343 | 0.6343
dvs_gesture | integer | 42 | 5 | 0.6585 | 0.5648 | 0.6343
dvs_gesture | integer | 42 | 6 | 0.7062 | 0.6667 | 0.6667
dvs_gesture | integer | 42 | 7 | 0.7445 | 0.6574 | 0.6667
dvs_gesture | integer | 42 | 8 | 0.7515 | 0.6759 | 0.6759
dvs_gesture | integer | 42 | 9 | 0.7515 | 0.7083 | 0.7083
dvs_gesture | integer | 42 | 10 | 0.7735 | 0.5880 | 0.7083
dvs_gesture | integer | 42 | 11 | 0.7805 | 0.7176 | 0.7176
dvs_gesture | integer | 42 | 12 | 0.8060 | 0.6944 | 0.7176
dvs_gesture | integer | 42 | 13 | 0.8014 | 0.7037 | 0.7176
dvs_gesture | integer | 42 | 14 | 0.8223 | 0.7269 | 0.7269
dvs_gesture | integer | 42 | 15 | 0.8293 | 0.7685 | 0.7685
dvs_gesture | integer | 42 | 16 | 0.8537 | 0.7315 | 0.7685
dvs_gesture | integer | 42 | 17 | 0.8455 | 0.7639 | 0.7685
dvs_gesture | integer | 42 | 18 | 0.8676 | 0.8287 | 0.8287
dvs_gesture | integer | 42 | 19 | 0.8885 | 0.6852 | 0.8287
dvs_gesture | integer | 42 | 20 | 0.9082 | 0.7639 | 0.8287
dvs_gesture | integer | 42 | 21 | 0.8722 | 0.7546 | 0.8287
dvs_gesture | integer | 42 | 22 | 0.9082 | 0.7824 | 0.8287
dvs_gesture | integer | 42 | 23 | 0.9141 | 0.8009 | 0.8287
dvs_gesture | integer | 42 | 24 | 0.9094 | 0.8148 | 0.8287
dvs_gesture | integer | 42 | 25 | 0.9164 | 0.8102 | 0.8287
dvs_gesture | integer | 42 | 26 | 0.9199 | 0.7963 | 0.8287
dvs_gesture | integer | 42 | 27 | 0.9152 | 0.7269 | 0.8287
dvs_gesture | integer | 42 | 28 | 0.9466 | 0.8102 | 0.8287
dvs_gesture | integer | 42 | 29 | 0.9431 | 0.7824 | 0.8287
dvs_gesture | integer | 42 | 30 | 0.9338 | 0.8194 | 0.8287
dvs_gesture | integer | 42 | 31 | 0.9443 | 0.7963 | 0.8287
dvs_gesture | integer | 42 | 32 | 0.9547 | 0.8102 | 0.8287
dvs_gesture | integer | 42 | 33 | 0.9384 | 0.8287 | 0.8287
dvs_gesture | integer | 42 | 34 | 0.9675 | 0.8287 | 0.8287
dvs_gesture | integer | 42 | 35 | 0.9512 | 0.8148 | 0.8287
dvs_gesture | integer | 42 | 36 | 0.9652 | 0.8241 | 0.8287
dvs_gesture | integer | 42 | 37 | 0.9593 | 0.8009 | 0.8287
dvs_gesture | integer | 42 | 38 | 0.9628 | 0.8380 | 0.8380
dvs_gesture | integer | 42 | 39 | 0.9744 | 0.8426 | 0.8426
dvs_gesture | integer | 42 | 40 | 0.9768 | 0.8194 | 0.8426
dvs_gesture | integer | 42 | 41 | 0.9803 | 0.8148 | 0.8426
dvs_gesture | integer | 42 | 42 | 0.9837 | 0.8519 | 0.8519
dvs_gesture | integer | 42 | 43 | 0.9895 | 0.8611 | 0.8611
dvs_gesture | integer | 42 | 44 | 0.9884 | 0.8472 | 0.8611
dvs_gesture | integer | 42 | 45 | 0.9907 | 0.8565 | 0.8611
dvs_gesture | integer | 42 | 46 | 0.9849 | 0.8611 | 0.8611
dvs_gesture | integer | 42 | 47 | 0.9884 | 0.8241 | 0.8611
dvs_gesture | integer | 42 | 48 | 0.9895 | 0.8426 | 0.8611
dvs_gesture | integer | 42 | 49 | 0.9849 | 0.7963 | 0.8611
dvs_gesture | integer | 42 | 50 | 0.9884 | 0.8333 | 0.8611
dvs_gesture | integer | 42 | 51 | 0.9895 | 0.8519 | 0.8611
dvs_gesture | integer | 42 | 52 | 0.9930 | 0.8472 | 0.8611
dvs_gesture | integer | 42 | 53 | 0.9954 | 0.8750 | 0.8750
dvs_gesture | integer | 42 | 54 | 0.9942 | 0.8426 | 0.8750
dvs_gesture | integer | 42 | 55 | 0.9919 | 0.8565 | 0.8750
dvs_gesture | integer | 42 | 56 | 0.9930 | 0.8796 | 0.8796
dvs_gesture | integer | 42 | 57 | 0.9965 | 0.8380 | 0.8796
dvs_gesture | integer | 42 | 58 | 0.9965 | 0.8704 | 0.8796
dvs_gesture | integer | 42 | 59 | 0.9965 | 0.8935 | 0.8935
dvs_gesture | integer | 42 | 60 | 0.9977 | 0.8843 | 0.8935
dvs_gesture | integer | 42 | 61 | 0.9988 | 0.8750 | 0.8935
dvs_gesture | integer | 42 | 62 | 0.9988 | 0.8519 | 0.8935
dvs_gesture | integer | 42 | 63 | 0.9988 | 0.8889 | 0.8935
dvs_gesture | integer | 42 | 64 | 1.0000 | 0.8750 | 0.8935
dvs_gesture | integer | 42 | 65 | 0.9977 | 0.8611 | 0.8935
dvs_gesture | integer | 42 | 66 | 0.9965 | 0.8611 | 0.8935
dvs_gesture | integer | 42 | 67 | 1.0000 | 0.8889 | 0.8935
dvs_gesture | integer | 42 | 68 | 1.0000 | 0.8796 | 0.8935
dvs_gesture | integer | 42 | 69 | 1.0000 | 0.8750 | 0.8935
dvs_gesture | integer | 42 | 70 | 1.0000 | 0.8796 | 0.8935
dvs_gesture | integer | 42 | 71 | 1.0000 | 0.8750 | 0.8935
dvs_gesture | integer | 42 | 72 | 0.9988 | 0.8704 | 0.8935
dvs_gesture | integer | 42 | 73 | 0.9988 | 0.8611 | 0.8935
dvs_gesture | integer | 42 | 74 | 1.0000 | 0.8889 | 0.8935
dvs_gesture | integer | 42 | 75 | 1.0000 | 0.8889 | 0.8935
dvs_gesture | integer | 42 | 76 | 1.0000 | 0.8981 | 0.8981
dvs_gesture | integer | 42 | 77 | 0.9988 | 0.8889 | 0.8981
dvs_gesture | integer | 42 | 78 | 1.0000 | 0.8750 | 0.8981
dvs_gesture | integer | 42 | 79 | 1.0000 | 0.8843 | 0.8981
dvs_gesture | integer | 42 | 80 | 1.0000 | 0.8935 | 0.8981
dvs_gesture | integer | 42 | 81 | 1.0000 | 0.8796 | 0.8981
dvs_gesture | integer | 42 | 82 | 1.0000 | 0.8889 | 0.8981
dvs_gesture | integer | 42 | 83 | 1.0000 | 0.8843 | 0.8981
dvs_gesture | integer | 42 | 84 | 0.9988 | 0.8889 | 0.8981
dvs_gesture | integer | 42 | 85 | 1.0000 | 0.8704 | 0.8981
dvs_gesture | integer | 42 | 86 | 1.0000 | 0.8750 | 0.8981
dvs_gesture | integer | 42 | 87 | 1.0000 | 0.8704 | 0.8981
dvs_gesture | integer | 42 | 88 | 1.0000 | 0.8843 | 0.8981
dvs_gesture | integer | 42 | 89 | 1.0000 | 0.8796 | 0.8981
dvs_gesture | integer | 42 | 90 | 1.0000 | 0.8843 | 0.8981
dvs_gesture | integer | 42 | 91 | 1.0000 | 0.8796 | 0.8981
dvs_gesture | integer | 42 | 92 | 1.0000 | 0.8889 | 0.8981
dvs_gesture | integer | 42 | 93 | 0.9988 | 0.8796 | 0.8981
dvs_gesture | integer | 42 | 94 | 1.0000 | 0.8704 | 0.8981
dvs_gesture | integer | 42 | 95 | 1.0000 | 0.8889 | 0.8981
dvs_gesture | integer | 42 | 96 | 1.0000 | 0.8796 | 0.8981
dvs_gesture | integer | 42 | 97 | 1.0000 | 0.8843 | 0.8981
dvs_gesture | integer | 42 | 98 | 1.0000 | 0.8796 | 0.8981
dvs_gesture | integer | 42 | 99 | 1.0000 | 0.8750 | 0.8981
dvs_gesture | integer | 42 | 100 | 1.0000 | 0.8889 | 0.8981
dvs_gesture | integer | 42 | 101 | 1.0000 | 0.8750 | 0.8981
dvs_gesture | integer | 42 | 0.8598 | 76
