cache | dvs_gesture | official_train | integer | 250/1077
cache | dvs_gesture | official_train | integer | 500/1077
cache | dvs_gesture | official_train | integer | 750/1077
cache | dvs_gesture | official_train | integer | 1000/1077
cache | dvs_gesture | official_train | integer | 1077/1077
cache | dvs_gesture | official_test | integer | 250/264
cache | dvs_gesture | official_test | integer | 264/264
cache | cifar10_dvs | all | binary | 250/10000
cache | cifar10_dvs | all | binary | 500/10000
cache | cifar10_dvs | all | binary | 750/10000
cache | cifar10_dvs | all | binary | 1000/10000
cache | cifar10_dvs | all | binary | 1250/10000
cache | cifar10_dvs | all | binary | 1500/10000
cache | cifar10_dvs | all | binary | 1750/10000
cache | cifar10_dvs | all | binary | 2000/10000
cache | cifar10_dvs | all | binary | 2250/10000
cache | cifar10_dvs | all | binary | 2500/10000
cache | cifar10_dvs | all | binary | 2750/10000
cache | cifar10_dvs | all | binary | 3000/10000
cache | cifar10_dvs | all | binary | 3250/10000
cache | cifar10_dvs | all | binary | 3500/10000
cache | cifar10_dvs | all | binary | 3750/10000
cache | cifar10_dvs | all | binary | 4000/10000
cache | cifar10_dvs | all | binary | 4250/10000
cache | cifar10_dvs | all | binary | 4500/10000
cache | cifar10_dvs | all | binary | 4750/10000
cache | cifar10_dvs | all | binary | 5000/10000
cache | cifar10_dvs | all | binary | 5250/10000
cache | cifar10_dvs | all | binary | 5500/10000
cache | cifar10_dvs | all | binary | 5750/10000
cache | cifar10_dvs | all | binary | 6000/10000
cache | cifar10_dvs | all | binary | 6250/10000
cache | cifar10_dvs | all | binary | 6500/10000
cache | cifar10_dvs | all | binary | 6750/10000
cache | cifar10_dvs | all | binary | 7000/10000
cache | cifar10_dvs | all | binary | 7250/10000
cache | cifar10_dvs | all | binary | 7500/10000
cache | cifar10_dvs | all | binary | 7750/10000
cache | cifar10_dvs | all | binary | 8000/10000
cache | cifar10_dvs | all | binary | 8250/10000
cache | cifar10_dvs | all | binary | 8500/10000
cache | cifar10_dvs | all | binary | 8750/10000
cache | cifar10_dvs | all | binary | 9000/10000
cache | cifar10_dvs | all | binary | 9250/10000
cache | cifar10_dvs | all | binary | 9500/10000
cache | cifar10_dvs | all | binary | 9750/10000
cache | cifar10_dvs | all | binary | 10000/10000
cache | cifar10_dvs | all | integer | 250/10000
cache | cifar10_dvs | all | integer | 500/10000
cache | cifar10_dvs | all | integer | 750/10000
cache | cifar10_dvs | all | integer | 1000/10000
cache | cifar10_dvs | all | integer | 1250/10000
cache | cifar10_dvs | all | integer | 1500/10000
cache | cifar10_dvs | all | integer | 1750/10000
cache | cifar10_dvs | all | integer | 2000/10000
cache | cifar10_dvs | all | integer | 2250/10000
cache | cifar10_dvs | all | integer | 2500/10000
cache | cifar10_dvs | all | integer | 2750/10000
cache | cifar10_dvs | all | integer | 3000/10000
cache | cifar10_dvs | all | integer | 3250/10000
cache | cifar10_dvs | all | integer | 3500/10000
cache | cifar10_dvs | all | integer | 3750/10000
cache | cifar10_dvs | all | integer | 4000/10000
cache | cifar10_dvs | all | integer | 4250/10000
cache | cifar10_dvs | all | integer | 4500/10000
cache | cifar10_dvs | all | integer | 4750/10000
cache | cifar10_dvs | all | integer | 5000/10000
cache | cifar10_dvs | all | integer | 5250/10000
cache | cifar10_dvs | all | integer | 5500/10000
cache | cifar10_dvs | all | integer | 5750/10000
cache | cifar10_dvs | all | integer | 6000/10000
cache | cifar10_dvs | all | integer | 6250/10000
cache | cifar10_dvs | all | integer | 6500/10000
cache | cifar10_dvs | all | integer | 6750/10000
cache | cifar10_dvs | all | integer | 7000/10000
cache | cifar10_dvs | all | integer | 7250/10000
cache | cifar10_dvs | all | integer | 7500/10000
cache | cifar10_dvs | all | integer | 7750/10000
cache | cifar10_dvs | all | integer | 8000/10000
cache | cifar10_dvs | all | integer | 8250/10000
cache | cifar10_dvs | all | integer | 8500/10000
cache | cifar10_dvs | all | integer | 8750/10000
cache | cifar10_dvs | all | integer | 9000/10000
cache | cifar10_dvs | all | integer | 9250/10000
cache | cifar10_dvs | all | integer | 9500/10000
cache | cifar10_dvs | all | integer | 9750/10000
cache | cifar10_dvs | all | integer | 10000/10000
pipeline audit PASS | C:\Users\jafari.h.SPADANACO\Desktop\ai_project\testing\qsnn_temp_drift_project\Reports\results\clean_improved_pipeline_audit.json
