dvs_gesture | binary | 42 | 1 | 0.5029 | 0.4491 | 0.4491
dvs_gesture | binary | 42 | 2 | 0.6411 | 0.5694 | 0.5694
dvs_gesture | binary | 42 | 3 | 0.6980 | 0.6806 | 0.6806
dvs_gesture | binary | 42 | 4 | 0.7189 | 0.5139 | 0.6806
dvs_gesture | binary | 42 | 5 | 0.7422 | 0.7454 | 0.7454
dvs_gesture | binary | 42 | 6 | 0.7596 | 0.7500 | 0.7500
dvs_gesture | binary | 42 | 7 | 0.8037 | 0.7454 | 0.7500
dvs_gesture | binary | 42 | 8 | 0.8269 | 0.7917 | 0.7917
dvs_gesture | binary | 42 | 9 | 0.8258 | 0.7778 | 0.7917
dvs_gesture | binary | 42 | 10 | 0.8200 | 0.7407 | 0.7917
dvs_gesture | binary | 42 | 11 | 0.8374 | 0.7824 | 0.7917
dvs_gesture | binary | 42 | 12 | 0.8630 | 0.7870 | 0.7917
dvs_gesture | binary | 42 | 13 | 0.8688 | 0.7593 | 0.7917
dvs_gesture | binary | 42 | 14 | 0.8676 | 0.8287 | 0.8287
dvs_gesture | binary | 42 | 15 | 0.8792 | 0.8194 | 0.8287
dvs_gesture | binary | 42 | 16 | 0.8792 | 0.8148 | 0.8287
dvs_gesture | binary | 42 | 17 | 0.9082 | 0.8102 | 0.8287
dvs_gesture | binary | 42 | 18 | 0.9036 | 0.8380 | 0.8380
dvs_gesture | binary | 42 | 19 | 0.9141 | 0.8102 | 0.8380
dvs_gesture | binary | 42 | 20 | 0.9094 | 0.8102 | 0.8380
dvs_gesture | binary | 42 | 21 | 0.9361 | 0.8009 | 0.8380
dvs_gesture | binary | 42 | 22 | 0.9326 | 0.8241 | 0.8380
dvs_gesture | binary | 42 | 23 | 0.9338 | 0.8194 | 0.8380
dvs_gesture | binary | 42 | 24 | 0.9419 | 0.8241 | 0.8380
dvs_gesture | binary | 42 | 25 | 0.9524 | 0.8472 | 0.8472
dvs_gesture | binary | 42 | 26 | 0.9547 | 0.8565 | 0.8565
dvs_gesture | binary | 42 | 27 | 0.9582 | 0.8333 | 0.8565
dvs_gesture | binary | 42 | 28 | 0.9535 | 0.8611 | 0.8611
dvs_gesture | binary | 42 | 29 | 0.9640 | 0.8611 | 0.8611
dvs_gesture | binary | 42 | 30 | 0.9582 | 0.8704 | 0.8704
dvs_gesture | binary | 42 | 31 | 0.9919 | 0.8519 | 0.8704
dvs_gesture | binary | 42 | 32 | 0.9814 | 0.8380 | 0.8704
dvs_gesture | binary | 42 | 33 | 0.9744 | 0.8796 | 0.8796
dvs_gesture | binary | 42 | 34 | 0.9837 | 0.8935 | 0.8935
dvs_gesture | binary | 42 | 35 | 0.9837 | 0.8750 | 0.8935
dvs_gesture | binary | 42 | 36 | 0.9861 | 0.8750 | 0.8935
dvs_gesture | binary | 42 | 37 | 0.9861 | 0.8796 | 0.8935
dvs_gesture | binary | 42 | 38 | 0.9814 | 0.8889 | 0.8935
dvs_gesture | binary | 42 | 39 | 0.9895 | 0.8750 | 0.8935
dvs_gesture | binary | 42 | 40 | 0.9907 | 0.8889 | 0.8935
dvs_gesture | binary | 42 | 41 | 0.9977 | 0.8843 | 0.8935
dvs_gesture | binary | 42 | 42 | 0.9965 | 0.8889 | 0.8935
dvs_gesture | binary | 42 | 43 | 0.9965 | 0.8704 | 0.8935
dvs_gesture | binary | 42 | 44 | 0.9965 | 0.9306 | 0.9306
dvs_gesture | binary | 42 | 45 | 0.9977 | 0.9120 | 0.9306
dvs_gesture | binary | 42 | 46 | 0.9977 | 0.9120 | 0.9306
dvs_gesture | binary | 42 | 47 | 0.9965 | 0.8750 | 0.9306
dvs_gesture | binary | 42 | 48 | 0.9988 | 0.8796 | 0.9306
dvs_gesture | binary | 42 | 49 | 0.9988 | 0.9167 | 0.9306
dvs_gesture | binary | 42 | 50 | 1.0000 | 0.8889 | 0.9306
dvs_gesture | binary | 42 | 51 | 0.9977 | 0.8981 | 0.9306
dvs_gesture | binary | 42 | 52 | 0.9977 | 0.9120 | 0.9306
dvs_gesture | binary | 42 | 53 | 0.9988 | 0.9028 | 0.9306
dvs_gesture | binary | 42 | 54 | 1.0000 | 0.8981 | 0.9306
dvs_gesture | binary | 42 | 55 | 0.9988 | 0.9028 | 0.9306
dvs_gesture | binary | 42 | 56 | 0.9988 | 0.9028 | 0.9306
dvs_gesture | binary | 42 | 57 | 0.9988 | 0.9120 | 0.9306
dvs_gesture | binary | 42 | 58 | 1.0000 | 0.9074 | 0.9306
dvs_gesture | binary | 42 | 59 | 1.0000 | 0.9120 | 0.9306
dvs_gesture | binary | 42 | 60 | 1.0000 | 0.9074 | 0.9306
