dvs_gesture | binary | 42 | 1 | 0.1986 | 0.0926 | 0.0926
dvs_gesture | binary | 42 | 2 | 0.3066 | 0.0926 | 0.0926
dvs_gesture | binary | 42 | 3 | 0.3879 | 0.1389 | 0.1389
dvs_gesture | binary | 42 | 4 | 0.4274 | 0.1435 | 0.1435
dvs_gesture | binary | 42 | 5 | 0.4913 | 0.1713 | 0.1713
dvs_gesture | binary | 42 | 6 | 0.5319 | 0.2083 | 0.2083
dvs_gesture | binary | 42 | 7 | 0.5598 | 0.3657 | 0.3657
dvs_gesture | binary | 42 | 8 | 0.6074 | 0.5231 | 0.5231
dvs_gesture | binary | 42 | 9 | 0.6318 | 0.5880 | 0.5880
dvs_gesture | binary | 42 | 10 | 0.6702 | 0.5093 | 0.5880
dvs_gesture | binary | 42 | 11 | 0.6911 | 0.6481 | 0.6481
dvs_gesture | binary | 42 | 12 | 0.6934 | 0.6667 | 0.6667
dvs_gesture | binary | 42 | 13 | 0.7038 | 0.6296 | 0.6667
dvs_gesture | binary | 42 | 14 | 0.7120 | 0.6852 | 0.6852
dvs_gesture | binary | 42 | 15 | 0.7526 | 0.6435 | 0.6852
dvs_gesture | binary | 42 | 16 | 0.7538 | 0.7593 | 0.7593
dvs_gesture | binary | 42 | 17 | 0.7677 | 0.7361 | 0.7593
dvs_gesture | binary | 42 | 18 | 0.7863 | 0.7037 | 0.7593
dvs_gesture | binary | 42 | 19 | 0.8014 | 0.7130 | 0.7593
dvs_gesture | binary | 42 | 20 | 0.8130 | 0.7685 | 0.7685
dvs_gesture | binary | 42 | 21 | 0.7991 | 0.8056 | 0.8056
dvs_gesture | binary | 42 | 22 | 0.8258 | 0.8102 | 0.8102
dvs_gesture | binary | 42 | 23 | 0.8223 | 0.6713 | 0.8102
dvs_gesture | binary | 42 | 24 | 0.8397 | 0.8102 | 0.8102
dvs_gesture | binary | 42 | 25 | 0.8641 | 0.8056 | 0.8102
dvs_gesture | binary | 42 | 26 | 0.8525 | 0.7917 | 0.8102
dvs_gesture | binary | 42 | 27 | 0.8525 | 0.8333 | 0.8333
dvs_gesture | binary | 42 | 28 | 0.8583 | 0.8194 | 0.8333
dvs_gesture | binary | 42 | 29 | 0.8641 | 0.7963 | 0.8333
dvs_gesture | binary | 42 | 30 | 0.8630 | 0.8102 | 0.8333
dvs_gesture | binary | 42 | 31 | 0.8653 | 0.8241 | 0.8333
dvs_gesture | binary | 42 | 32 | 0.8734 | 0.8194 | 0.8333
dvs_gesture | binary | 42 | 33 | 0.8699 | 0.8241 | 0.8333
dvs_gesture | binary | 42 | 34 | 0.8711 | 0.8333 | 0.8333
dvs_gesture | binary | 42 | 35 | 0.8769 | 0.8333 | 0.8333
