dvs_gesture | integer | 42 | 1 | 0.4646 | 0.5463 | 0.5463
dvs_gesture | integer | 42 | 2 | 0.6109 | 0.6065 | 0.6065
dvs_gesture | integer | 42 | 3 | 0.6469 | 0.6574 | 0.6574
dvs_gesture | integer | 42 | 4 | 0.6794 | 0.6481 | 0.6574
dvs_gesture | integer | 42 | 5 | 0.6783 | 0.7130 | 0.7130
dvs_gesture | integer | 42 | 6 | 0.6957 | 0.6852 | 0.7130
dvs_gesture | integer | 42 | 7 | 0.7352 | 0.6620 | 0.7130
dvs_gesture | integer | 42 | 8 | 0.7445 | 0.7083 | 0.7130
dvs_gesture | integer | 42 | 9 | 0.7654 | 0.6944 | 0.7130
dvs_gesture | integer | 42 | 10 | 0.7631 | 0.7315 | 0.7315
dvs_gesture | integer | 42 | 11 | 0.7712 | 0.7500 | 0.7500
dvs_gesture | integer | 42 | 12 | 0.7979 | 0.7269 | 0.7500
dvs_gesture | integer | 42 | 13 | 0.8049 | 0.6991 | 0.7500
dvs_gesture | integer | 42 | 14 | 0.8084 | 0.6991 | 0.7500
dvs_gesture | integer | 42 | 15 | 0.8386 | 0.7685 | 0.7685
dvs_gesture | integer | 42 | 16 | 0.8258 | 0.7685 | 0.7685
dvs_gesture | integer | 42 | 17 | 0.8432 | 0.7685 | 0.7685
dvs_gesture | integer | 42 | 18 | 0.8688 | 0.7778 | 0.7778
dvs_gesture | integer | 42 | 19 | 0.8931 | 0.7269 | 0.7778
dvs_gesture | integer | 42 | 20 | 0.8850 | 0.7963 | 0.7963
dvs_gesture | integer | 42 | 21 | 0.8839 | 0.7546 | 0.7963
dvs_gesture | integer | 42 | 22 | 0.9175 | 0.7546 | 0.7963
dvs_gesture | integer | 42 | 23 | 0.9082 | 0.7778 | 0.7963
dvs_gesture | integer | 42 | 24 | 0.9199 | 0.7870 | 0.7963
dvs_gesture | integer | 42 | 25 | 0.9141 | 0.8380 | 0.8380
dvs_gesture | integer | 42 | 26 | 0.9187 | 0.7778 | 0.8380
dvs_gesture | integer | 42 | 27 | 0.9141 | 0.8009 | 0.8380
dvs_gesture | integer | 42 | 28 | 0.9501 | 0.8333 | 0.8380
dvs_gesture | integer | 42 | 29 | 0.9489 | 0.8519 | 0.8519
dvs_gesture | integer | 42 | 30 | 0.9501 | 0.8426 | 0.8519
dvs_gesture | integer | 42 | 31 | 0.9547 | 0.8102 | 0.8519
dvs_gesture | integer | 42 | 32 | 0.9675 | 0.8194 | 0.8519
dvs_gesture | integer | 42 | 33 | 0.9501 | 0.8056 | 0.8519
dvs_gesture | integer | 42 | 34 | 0.9686 | 0.8333 | 0.8519
dvs_gesture | integer | 42 | 35 | 0.9570 | 0.8241 | 0.8519
dvs_gesture | integer | 42 | 36 | 0.9721 | 0.8102 | 0.8519
dvs_gesture | integer | 42 | 37 | 0.9628 | 0.8287 | 0.8519
dvs_gesture | integer | 42 | 38 | 0.9733 | 0.8565 | 0.8565
dvs_gesture | integer | 42 | 39 | 0.9837 | 0.8519 | 0.8565
dvs_gesture | integer | 42 | 40 | 0.9814 | 0.8287 | 0.8565
dvs_gesture | integer | 42 | 41 | 0.9814 | 0.8611 | 0.8611
dvs_gesture | integer | 42 | 42 | 0.9895 | 0.8889 | 0.8889
dvs_gesture | integer | 42 | 43 | 0.9907 | 0.8750 | 0.8889
dvs_gesture | integer | 42 | 44 | 0.9895 | 0.8750 | 0.8889
dvs_gesture | integer | 42 | 45 | 0.9965 | 0.8704 | 0.8889
dvs_gesture | integer | 42 | 46 | 0.9907 | 0.8565 | 0.8889
dvs_gesture | integer | 42 | 47 | 0.9954 | 0.8657 | 0.8889
dvs_gesture | integer | 42 | 48 | 0.9954 | 0.8796 | 0.8889
dvs_gesture | integer | 42 | 49 | 0.9977 | 0.8750 | 0.8889
dvs_gesture | integer | 42 | 50 | 0.9988 | 0.8704 | 0.8889
dvs_gesture | integer | 42 | 51 | 0.9977 | 0.8796 | 0.8889
dvs_gesture | integer | 42 | 52 | 0.9977 | 0.8796 | 0.8889
dvs_gesture | integer | 42 | 53 | 0.9977 | 0.8796 | 0.8889
dvs_gesture | integer | 42 | 54 | 0.9965 | 0.8750 | 0.8889
dvs_gesture | integer | 42 | 55 | 0.9965 | 0.8704 | 0.8889
dvs_gesture | integer | 42 | 56 | 0.9977 | 0.8796 | 0.8889
dvs_gesture | integer | 42 | 57 | 0.9965 | 0.8657 | 0.8889
dvs_gesture | integer | 42 | 58 | 0.9954 | 0.8796 | 0.8889
dvs_gesture | integer | 42 | 59 | 0.9977 | 0.8796 | 0.8889
dvs_gesture | integer | 42 | 60 | 0.9977 | 0.8796 | 0.8889
